Employment,EdLevel,YearsCode,YearsCodePro,OrgSize,Country,Gender,WorkExp,RemoteWork,Compensation_usd
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,5,100 to 499 employees,United States of America,"Non-binary, genderqueer, or gender non-conforming",NA,Fully remote,106318
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,4,"10,000 or more employees",United States of America,Man,4,Fully remote,137500
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,10,2 to 9 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,5,10 to 19 employees,United States of America,Man,9,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,11,"1,000 to 4,999 employees",United States of America,Man,12,Fully remote,230000
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",20,15,"1,000 to 4,999 employees",United States of America,Man,15,"Hybrid (some remote, some in-person)",175000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,NA,"10,000 or more employees",United States of America,Man,1,"Hybrid (some remote, some in-person)",90000
"Employed, full-time",Some college/university study without earning a degree,30,7,500 to 999 employees,United States of America,Prefer not to say,27,Fully remote,100000
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,3,20 to 99 employees,Germany,Man,3,Fully remote,4770
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",29,26,20 to 99 employees,United States of America,Man,26,"Hybrid (some remote, some in-person)",160000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,6,100 to 499 employees,United States of America,Man,5,Fully remote,95000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",42,25,"10,000 or more employees",United States of America,Man,30,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,11,"5,000 to 9,999 employees",United States of America,Man,11,Fully remote,175000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,4,20 to 99 employees,United States of America,Man,NA,Fully remote,150000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",44,19,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,19,"Hybrid (some remote, some in-person)",72600
"Employed, full-time","Associate degree (A.A., A.S., etc.)",5,2,100 to 499 employees,United States of America,Man,NA,Fully remote,120000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,9,"10,000 or more employees",Germany,Man,9,Fully remote,127200
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,3,"5,000 to 9,999 employees",Germany,Man,3,Fully remote,74200
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,3,500 to 999 employees,Germany,Man,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,10,500 to 999 employees,United States of America,"Non-binary, genderqueer, or gender non-conforming",10,Fully remote,175000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23,13,100 to 499 employees,United States of America,Man,14,Fully remote,167240
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,3,100 to 499 employees,United States of America,Man,3,Fully remote,90000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,2,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Woman,2,"Hybrid (some remote, some in-person)",36300
"Employed, full-time",Some college/university study without earning a degree,27,27,I don’t know,United States of America,Man,27,Fully remote,NA
"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,3,2,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Man,NA,Fully remote,3232
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,5,100 to 499 employees,United States of America,Man,5,"Hybrid (some remote, some in-person)",163000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21,15,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,15,"Hybrid (some remote, some in-person)",94632.89
"Employed, full-time",Something else,29,27,"10,000 or more employees",United States of America,Man,27,Fully remote,125000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,25,20 to 99 employees,United States of America,Woman,NA,Fully remote,168000
"Employed, full-time",Some college/university study without earning a degree,14,10,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,39930
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,12,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,15,Fully remote,110110
"Employed, full-time",Something else,4,2,20 to 99 employees,United States of America,Man,30,"Hybrid (some remote, some in-person)",67000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,NA,"1,000 to 4,999 employees",United States of America,Man,1,"Hybrid (some remote, some in-person)",107500
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,10,100 to 499 employees,United States of America,Man,10,Fully remote,100000
"Employed, full-time","Professional degree (JD, MD, etc.)",33,25,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Man,25,Fully remote,550000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,6,"10,000 or more employees",United States of America,Man,6,"Hybrid (some remote, some in-person)",135000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,12,10 to 19 employees,United States of America,Man,17,Fully remote,130000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,4,100 to 499 employees,United States of America,Man,NA,Fully remote,118000
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,9,20 to 99 employees,United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,2,20 to 99 employees,Germany,Man,2,Fully remote,NA
"Employed, full-time",Some college/university study without earning a degree,9,8,2 to 9 employees,United States of America,Man,8,Fully remote,180000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,3,"5,000 to 9,999 employees",United States of America,Man,3,Fully remote,68000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,5,"5,000 to 9,999 employees",United States of America,Man,5,"Hybrid (some remote, some in-person)",100000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35,30,"10,000 or more employees",United States of America,Man,30,"Hybrid (some remote, some in-person)",153000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,6,"1,000 to 4,999 employees",United States of America,Man,NA,"Hybrid (some remote, some in-person)",155000
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,1,2 to 9 employees,United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,9,100 to 499 employees,United States of America,Woman,11,"Hybrid (some remote, some in-person)",165000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,3,"10,000 or more employees",United States of America,Woman,5,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,15,"10,000 or more employees",United States of America,Prefer not to say,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,3,20 to 99 employees,United States of America,Man,NA,Fully remote,83000
"Employed, full-time","Professional degree (JD, MD, etc.)",13,6,100 to 499 employees,United States of America,Prefer not to say,23,Fully remote,500000
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",44,34,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Woman,NA,Fully remote,13000
"Employed, full-time","Professional degree (JD, MD, etc.)",4,NA,100 to 499 employees,United States of America,Man,4,Fully remote,135000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,7,"1,000 to 4,999 employees",United States of America,Man,NA,"Hybrid (some remote, some in-person)",93000
"Employed, full-time",Some college/university study without earning a degree,25,12,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,13,Fully remote,63525
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",5,4,"1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,Man,8,Fully remote,44770
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,8,500 to 999 employees,United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,3,100 to 499 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",84000
"Independent contractor, freelancer, or self-employed","Associate degree (A.A., A.S., etc.)",20,18,2 to 9 employees,United States of America,Prefer not to say,20,Fully remote,127000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",30,20,100 to 499 employees,United States of America,Man,20,"Hybrid (some remote, some in-person)",88000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,8,500 to 999 employees,United States of America,Man,8,Fully remote,206000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",9,7,20 to 99 employees,United States of America,Man,9,"Hybrid (some remote, some in-person)",92000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40,30,100 to 499 employees,United States of America,Man,36,Fully remote,250000
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,6,4,2 to 9 employees,United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,3,20 to 99 employees,United States of America,Man,5,Fully remote,95000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,4,100 to 499 employees,United States of America,Man,NA,Fully remote,85000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,6,500 to 999 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",145000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,5,"1,000 to 4,999 employees",United States of America,Man,NA,Fully remote,131000
"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,15,13,"Just me - I am a freelancer, sole proprietor, etc.",United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,NA
"Employed, full-time",Some college/university study without earning a degree,8,8,10 to 19 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",110000
"Employed, full-time",Some college/university study without earning a degree,26,24,500 to 999 employees,United States of America,Man,25,Fully remote,150000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,7,"10,000 or more employees",United States of America,Man,7,Fully remote,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",39,34,2 to 9 employees,United Kingdom of Great Britain and Northern Ireland,Man,37,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,7,"5,000 to 9,999 employees",United States of America,Woman,10,"Hybrid (some remote, some in-person)",98000
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,21,"Just me - I am a freelancer, sole proprietor, etc.",Germany,Man,NA,Fully remote,137800
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,5,100 to 499 employees,United States of America,Man,NA,Fully remote,200000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,4,500 to 999 employees,United States of America,Man,5,"Hybrid (some remote, some in-person)",160000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,8,"1,000 to 4,999 employees",Germany,Man,8,"Hybrid (some remote, some in-person)",117660
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,4,"5,000 to 9,999 employees",United States of America,Man,4,Fully remote,70000
"Employed, full-time",Some college/university study without earning a degree,20,12,100 to 499 employees,United States of America,Man,12,Fully remote,140000
"Employed, full-time",Some college/university study without earning a degree,16,13,2 to 9 employees,Germany,Man,14,"Hybrid (some remote, some in-person)",6042
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",42,30,"10,000 or more employees",United States of America,Man,30,Fully remote,300000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,16,20 to 99 employees,United States of America,Man,16,Fully remote,260000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,8,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,11,"Hybrid (some remote, some in-person)",56870
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",29,18,20 to 99 employees,United States of America,Man,NA,Fully remote,365000
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,15,10,100 to 499 employees,United States of America,Man,10,Fully remote,99000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",36,33,"1,000 to 4,999 employees",United States of America,Man,NA,Fully remote,220000
"Employed, full-time",Some college/university study without earning a degree,11,7,20 to 99 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",130000
"Employed, full-time",Some college/university study without earning a degree,NA,NA,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,23,"Hybrid (some remote, some in-person)",65340
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,14,"10,000 or more employees",United States of America,Man,NA,Fully remote,217000
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",36,23,20 to 99 employees,United States of America,Man,23,Fully remote,270000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22,18,"1,000 to 4,999 employees",United States of America,Man,16,Fully remote,300000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,9,20 to 99 employees,Germany,Man,9,"Hybrid (some remote, some in-person)",95400
"Employed, full-time;Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20,20,100 to 499 employees,United States of America,Man,35,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",NA,49,2 to 9 employees,United States of America,Woman,NA,"Hybrid (some remote, some in-person)",1000000
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",20,10,20 to 99 employees,United States of America,Man,NA,Fully remote,150000
"Employed, full-time",Some college/university study without earning a degree,8,5,"10,000 or more employees",United States of America,Man,6,"Hybrid (some remote, some in-person)",137500
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,6,100 to 499 employees,United States of America,Man,10,"Hybrid (some remote, some in-person)",95000
"Employed, full-time",Something else,20,15,"10,000 or more employees",Germany,Man,15,"Hybrid (some remote, some in-person)",NA
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,15,"Just me - I am a freelancer, sole proprietor, etc.",United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,6655
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,2,2 to 9 employees,United States of America,Man,NA,Fully remote,70000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,8,I don’t know,United States of America,Man,16,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23,19,"5,000 to 9,999 employees",United States of America,Man,19,Fully remote,216000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,13,10 to 19 employees,United States of America,"Non-binary, genderqueer, or gender non-conforming",13,Fully remote,240000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,16,2 to 9 employees,Germany,Man,16,Fully remote,90100
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,8,"5,000 to 9,999 employees",United States of America,Woman,8,"Hybrid (some remote, some in-person)",140000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",38,36,"1,000 to 4,999 employees",United States of America,Man,45,"Hybrid (some remote, some in-person)",112000
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25,19,"10,000 or more employees",Germany,Man,NA,"Hybrid (some remote, some in-person)",7420
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35,25,20 to 99 employees,United States of America,Man,NA,Fully remote,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,30,20,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,60500
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,14,100 to 499 employees,United States of America,Man,15,Fully remote,159000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,18,"1,000 to 4,999 employees",United States of America,Man,20,Fully remote,146000
"Employed, full-time",Some college/university study without earning a degree,5,5,100 to 499 employees,United States of America,Man,5,"Hybrid (some remote, some in-person)",110000
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40,30,"1,000 to 4,999 employees",Germany,Man,NA,Fully remote,58300
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,1,"5,000 to 9,999 employees",United States of America,Woman,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,15,"10,000 or more employees",United States of America,Man,17,"Hybrid (some remote, some in-person)",120000
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",47,35,2 to 9 employees,United States of America,Man,36,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8,7,100 to 499 employees,United States of America,Man,NA,Fully remote,75000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,NA,100 to 499 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",88000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,20,"1,000 to 4,999 employees",United States of America,Man,NA,"Hybrid (some remote, some in-person)",128000
"Employed, full-time",Some college/university study without earning a degree,4,2,"1,000 to 4,999 employees",United States of America,"Man;Non-binary, genderqueer, or gender non-conforming",NA,"Hybrid (some remote, some in-person)",66000
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",5,15,500 to 999 employees,Germany,Man,25,"Hybrid (some remote, some in-person)",79500
"Employed, full-time",Some college/university study without earning a degree,4,3,"10,000 or more employees",United States of America,Man,15,"Hybrid (some remote, some in-person)",100000
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,2,2 to 9 employees,Germany,Man,10,Fully remote,4240
"Employed, full-time",Some college/university study without earning a degree,4,3,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,36300
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,34,30,500 to 999 employees,United States of America,Man,35,Fully remote,150000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,10,"1,000 to 4,999 employees",United States of America,NA,11,Fully remote,NA
"Employed, full-time",Some college/university study without earning a degree,10,2,2 to 9 employees,United States of America,Man,5,Fully remote,800
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,7,"5,000 to 9,999 employees",United States of America,Man,10,"Hybrid (some remote, some in-person)",420000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,9,"1,000 to 4,999 employees",United States of America,Man,30,Fully remote,100000
"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2,1,2 to 9 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",95000
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",17,8,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",108900
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27,21,2 to 9 employees,United States of America,Man,21,Fully remote,200000
"Employed, full-time;Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",41,26,2 to 9 employees,United States of America,Man,30,Fully remote,150000
"Employed, full-time",Some college/university study without earning a degree,12,12,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,12,"Hybrid (some remote, some in-person)",90750
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,10,"10,000 or more employees",Germany,Woman,10,"Hybrid (some remote, some in-person)",NA
"Independent contractor, freelancer, or self-employed","Other doctoral degree (Ph.D., Ed.D., etc.)",31,31,10 to 19 employees,United States of America,Man,31,"Hybrid (some remote, some in-person)",NA
"Employed, full-time",Some college/university study without earning a degree,10,1,10 to 19 employees,Germany,"Man;Or, in your own words:",1,Fully remote,82680
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,11,"10,000 or more employees",United States of America,Man,11,Fully remote,302063
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,36,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,NA,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,3,500 to 999 employees,United States of America,Man,3,Fully remote,179630
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32,22,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,22,Fully remote,108900
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45,35,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,816750
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,10,10 to 19 employees,United States of America,Man,11,Fully remote,123500
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40,23,"10,000 or more employees",United States of America,"Non-binary, genderqueer, or gender non-conforming",NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36,28,"5,000 to 9,999 employees",United States of America,Man,32,"Hybrid (some remote, some in-person)",175000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,15,20 to 99 employees,United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36,30,20 to 99 employees,United States of America,Man,30,"Hybrid (some remote, some in-person)",142000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,6,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,6,"Hybrid (some remote, some in-person)",242000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,12,100 to 499 employees,United States of America,Man,NA,Fully remote,400000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,6,"1,000 to 4,999 employees",United States of America,Man,7,"Hybrid (some remote, some in-person)",192000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,15,20 to 99 employees,Germany,Man,15,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,25,20 to 99 employees,United States of America,Man,27,Fully remote,153000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,2,20 to 99 employees,United States of America,Man,2,Fully remote,92000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,7,"10,000 or more employees",United States of America,Man,7,"Hybrid (some remote, some in-person)",110000
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,22,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Man,NA,Fully remote,100000
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35,24,2 to 9 employees,United States of America,Man,NA,Fully remote,7500
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,4,100 to 499 employees,United States of America,Man,12,"Hybrid (some remote, some in-person)",115000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,1,500 to 999 employees,Germany,Man,1,"Hybrid (some remote, some in-person)",57240
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,27,25,"1,000 to 4,999 employees",United States of America,Man,25,Fully remote,160000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,9,20 to 99 employees,United States of America,Woman,8,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Associate degree (A.A., A.S., etc.)",2,NA,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,1,"Hybrid (some remote, some in-person)",29040
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40,40,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Man,NA,Fully remote,150000
"Employed, full-time",Primary/elementary school,12,8,"10,000 or more employees",United States of America,Man,8,Fully remote,135000
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30,28,"1,000 to 4,999 employees",United States of America,Man,NA,"Hybrid (some remote, some in-person)",300000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,2,"10,000 or more employees",United States of America,Man,1,Fully remote,145000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,6,100 to 499 employees,United States of America,Man,16,Fully remote,151000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,4,"10,000 or more employees",United States of America,Man,4,Fully remote,323000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",37,25,"10,000 or more employees",United States of America,Man,NA,Fully remote,180000
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,6,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Man,NA,Fully remote,0
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,4,"1,000 to 4,999 employees",United States of America,Woman,4,"Hybrid (some remote, some in-person)",150000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,5,20 to 99 employees,United States of America,Woman,5,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,10,100 to 499 employees,United States of America,Man,10,Fully remote,160000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,3,20 to 99 employees,United States of America,Man,3,"Hybrid (some remote, some in-person)",78000
"Employed, full-time","Professional degree (JD, MD, etc.)",7,7,20 to 99 employees,United States of America,Man,7,"Hybrid (some remote, some in-person)",180000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,6,500 to 999 employees,United States of America,Man,10,Fully remote,3000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,16,100 to 499 employees,United States of America,Man,16,"Hybrid (some remote, some in-person)",96000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,2,"1,000 to 4,999 employees",Germany,Man,3,Fully remote,NA
